file_name,img_width,img_height,text
HCP - DERM ConnectRX StaticBanner Driver_p0-14.png,728,90,"talt’z [\xekxzumabV macho""  Discover what Taltz can do for your patients >  $01"
HCP - DERM ConnectRX StaticBanner Driver_p0-15.png,728,90,
HCP - DERM Animated 1 Frame Banner LT Efficacy_p0-40.png,480,1800,"talt‘E-  (ixekizumab) injection 80 mg/mL     See PsO  response data through 5 years.  Explore more reasons to think Taltz >  Pr cribing Information Indications and Important Safety  Information Taltz is indicated for adults with  moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis."
HCP - DERM Animated 1 Frame Banner LT Efficacy_p1-4.png,900,750,Prescribing Information  Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or
HCP - DERM Animated 1 Frame Banner LT Efficacy_p2-8.png,900,1800,"taltz  (ixekizumab) InJ ection 80 mg/mL  See PSO response data through 5 years.  Explore more reasons to think Taltz >  Prescribing Information  Indications and Important Safety Information '  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS"
HCP - DERM Animated 1 Frame Banner LT Efficacy_p3-12.png,2184,270,"Prescribing Information  Indications and Important Safety Information  2“:' ;l”/ mo: . . . . llact‘jllltﬁt‘li ‘ ‘J Taltz IS Indicated for adults With moderate to severe plaque  30 mg/mL psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and"
HCP - DERM Animated 1 Frame Banner LT Efficacy_p4-16.png,480,4989,"Indications and Important Safety Information  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients.  WARNINGS AND PRECAUTIONS  Infections  Taltz may increase the risk of infection. In clinical trials of patients with plaque psoriasis, the Taltz group had a higher rate of infections than the placebo group (27% vs 23%). A similar increase in risk of infection was seen in placebo-controlled trials of patients with psoriatic arthritis and ankylosing spondylitis. Serious infections have occurred. Instruct patients to seek medical advice if signs or symptoms of clinically important chronic or acute infection occur. If a serious infection develops, discontinue Taltz until the infection resolves.  Pre-Treatment Evaluation for Tuberculosis  Evaluate patients for tuberculosis (TB) infection prior to initiating treatment with Taltz. Do not administer to patients with active TB infection. Initiate treatment of latent TB prior to administering Taltz. Closely monitor patients receiving Taltz for signs and symptoms of active TB during and after treatment.  Hypersensitivity  Serious hypersensitivity reactions, including angioedema and urticaria (each 50.1%), occurred in the Taltz group in clinical trials. Anaphylaxis, including cases leading to hospitalization, has been reported in post-marketing use with Taltz. If a serious hypersensitivity reaction occurs, discontinue Taltz immediately and initiate appropriate therapy.  Inflammatory Bowel Disease  During Taltz treatment, monitor patients for onset or exacerbations of inflammatory bowel disease. Crohn‘s disease and ulcerative colitis, including exacerbations, occurred at a greater frequency in the Taltz 80 mg Q2W group (Crohn‘s disease 0.1%, ulcerative colitis 0.2%) than in the placebo group (0%) during clinical trials in patients with plaque psoriasis and in the Taltz Q4W group in ankylosing spondylitis trials (Crohn’s disease 1.0% [2 patients], ulcerative colitis 0.5% [1 patient]) than in the placebo group (Crohn’s disease 0.5% [1 patient], ulcerative colitis 0%). In the ankylosing spondylitis trials, serious events occurred in 1 patient in the Taltz group and 1 patient in the placebo group.  Immunizations  Prior to initiating therapy with Taltz, consider completion of all ageappropriate immunizations according to current immunization guidelines. Avoid use of live vaccines in patients treated with Taltz.  ADVERSE REACTIONS  Most common adverse reactions (21%) associated with Taltz treatment are injection site reactions, upper respiratory tract infections, nausea, and tinea infections. Overall, the safety profiles observed in patients with psoriatic arthritis and ankylosing spondylitis were consistent with the safety profile in patients with plaque psoriasis, with the exception of influenza and conjunctivitis in psoriatic arthritis.  Please click to access the Prescribing Information and Medication Guide. Please see Instructions for Use included with the device.  IX HCP ISI 23AUG2019  Taltz® is a registered trademark owned or licensed by Eli Lilly and Company, its subsidiaries and affiliates.  PP-IX-US-3233 09/2019 ©Li||y_ USA, LLC 2019. All rigﬁ  reserved."
HCP - DERM Animated 1 Frame Banner_p0-40.png,480,1800,"talt‘E-  (ixekizvumab) Injection 80 mg/mL  Discover what Taltz can do for your moderate- severe PsO patients  THINK TALTZ. >  Prescribing Information  Indications and Important Safety Information  Taltz is indicated for  adults with moderate to severe plaque psoriasis       who are candidates for systemic therapy or phototherapy, adults with active ankylosing spondylitis, and for adults _ K"
HCP - DERM Animated 1 Frame Banner_p1-4.png,900,750,Discover what Taltz can do for your moderate-severe PsO patients  talt“z‘“’  (ixekizumab) injection THINK TALTZ. > 80 mg/mL  Prescribing Information  Indications and Important Safety Information      Taltz' Is indicated for adults with moderate to severe
HCP - DERM Animated 1 Frame Banner_p2-8.png,900,1800,"taltz  (ixekizumab) Iii] ection 80 mg/mL  Discover what Taltz can do for your moderate-severe PsO patients  THINK TALTZ. >  Prescribing Information  Indications and Important Safety Information Taltz is indicated for adults with moderate to severe  plaque psoriasis who are candidates for systemic therapy or phototherapy, adults with active      ankylosing spondylitis, and for adults with active psoriatic arthritis.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as"
HCP - DERM Animated 1 Frame Banner_p3-12.png,2184,270,A Mg Information v . ‘ taltz Discover what Taltz can  . . Indications and Important Safety (:ﬁkclétéwab) do for your moderate- THINK TALT; > Information  sum/mt severe PsO patients  Taltz is indicated for adults with moderate to severe plaque psoriasis who are candidates for
